"block_size","milliseconds_elapsed","total_size"
"131072","319","52428800"
"131072","319","52428800"
"131072","313","52428800"
"131072","341","52428800"
"131072","315","52428800"
"131072","314","52428800"
"131072","338","52428800"
"524288","340","52428800"
"524288","259","52428800"
"524288","228","52428800"
"524288","241","52428800"
"524288","241","52428800"
"524288","241","52428800"
"524288","227","52428800"
"524288","281","52428800"
"524288","245","52428800"
"524288","241","52428800"
"524288","235","52428800"
"524288","239","52428800"
"524288","247","52428800"
"524288","249","52428800"
"524288","236","52428800"
"524288","240","52428800"
"524288","238","52428800"
"524288","298","52428800"
"524288","256","52428800"
"524288","266","52428800"
"524288","317","52428800"
"524288","277","52428800"
"524288","293","52428800"
"524288","258","52428800"
"524288","252","52428800"
"524288","246","52428800"
"524288","316","52428800"
"524288","354","52428800"
"524288","257","52428800"
"524288","342","52428800"
"524288","363","52428800"
"524288","315","52428800"
"524288","353","52428800"
"524288","327","52428800"
"524288","334","52428800"
"524288","342","52428800"
"524288","339","52428800"
"524288","359","52428800"
"524288","336","52428800"
"524288","352","52428800"
"524288","325","52428800"
"524288","323","52428800"
"524288","359","52428800"
"524288","300","52428800"
"524288","309","52428800"
"524288","327","52428800"
"524288","280","52428800"
"524288","297","52428800"
"524288","373","52428800"
"524288","305","52428800"
"1048576","243","52428800"
"1048576","249","52428800"
"1048576","260","52428800"
"1048576","285","52428800"
"1048576","303","52428800"
"1048576","320","52428800"
"1048576","244","52428800"
"1048576","252","52428800"
"1048576","247","52428800"
"1048576","258","52428800"
"1048576","276","52428800"
"1048576","276","52428800"
"1048576","318","52428800"
"1048576","307","52428800"
"1048576","287","52428800"
"1048576","344","52428800"
"1048576","303","52428800"
"1048576","342","52428800"
"1048576","303","52428800"
"1048576","299","52428800"
"1048576","254","52428800"
"1048576","340","52428800"
"1048576","271","52428800"
